RUN	TIME	DATA	FOR	SHELLSORT	METHOD:

SIZE N	NANOSECONDS
500	6140428
1000	13744588
1500	22278635
2000	31367548
2500	40922650
3000	50775303
3500	60602041
4000	71053688
4500	81539222
5000	92319349
5500	103769710
6000	115073721
6500	127171503
7000	139259963
7500	151964820
8000	165391132
8500	177565093
9000	190397480
9500	203994399
10000	217729887
10500	232613692
11000	246058217
11500	260680389
12000	290735979
12500	306679938
13000	322360883
13500	339342891
14000	355366669
14500	372209943
15000	388518473
16000	403985047
17000	436377040
18000	471989984
19000	507718486
20000	544514626
21000	582016746
22000	630543503
23000	667443088
24000	706101224
25000	744276687
26000	786827630
27000	824543686
28000	867793252
29000	913490968
30000	959279852
31000	1004123270
32000	1052767429
33000	1100828051
34000	1218534133
35000	1200889225
36000	1250003966
37000	1303472516
38000	1357199829
39000	1409829988
40000	1463155551
42500	1605154308
45000	1723405734
47500	1848153014
50000	1999961728
